﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-09;06:00:00;0.00;G;0;G;;
2015-01-09;07:00:00;0.00;G;0;G;;
2015-01-09;08:00:00;2.64;G;0;G;;
2015-01-09;09:00:00;9.17;G;0;G;;
2015-01-09;10:00:00;21.56;G;0;G;;
2015-01-09;11:00:00;15.83;G;0;G;;
2015-01-09;12:00:00;12.64;G;0;G;;
2015-01-09;13:00:00;18.50;G;0;G;;
2015-01-09;14:00:00;20.66;G;0;G;;
2015-01-09;15:00:00;4.43;G;0;G;;
2015-01-09;16:00:00;0.04;G;0;G;;
2015-01-09;17:00:00;0.00;G;0;G;;
2015-01-09;18:00:00;0.00;G;0;G;;
2015-01-09;19:00:00;0.00;G;0;G;;
2015-01-09;20:00:00;0.00;G;0;G;;
2015-01-09;21:00:00;0.00;G;0;G;;
2015-01-09;22:00:00;0.00;G;0;G;;
2015-01-09;23:00:00;0.00;G;0;G;;
2015-01-10;00:00:00;0.00;G;0;G;;
2015-01-10;01:00:00;0.00;G;0;G;;
2015-01-10;02:00:00;0.00;G;0;G;;
2015-01-10;03:00:00;0.00;G;0;G;;
2015-01-10;04:00:00;0.00;G;0;G;;
2015-01-10;05:00:00;0.00;G;0;G;;
2015-01-10;06:00:00;0.00;G;0;G;;
2015-01-10;07:00:00;0.04;G;0;G;;
2015-01-10;08:00:00;0.57;G;0;G;;
2015-01-10;09:00:00;4.12;G;0;G;;
2015-01-10;10:00:00;14.07;G;0;G;;
2015-01-10;11:00:00;19.64;G;0;G;;
2015-01-10;12:00:00;21.92;G;0;G;;
2015-01-10;13:00:00;19.92;G;0;G;;
2015-01-10;14:00:00;20.13;G;0;G;;
2015-01-10;15:00:00;7.24;G;0;G;;
2015-01-10;16:00:00;0.01;G;0;G;;
2015-01-10;17:00:00;0.00;G;0;G;;
2015-01-10;18:00:00;0.00;G;0;G;;
2015-01-10;19:00:00;0.00;G;0;G;;
2015-01-10;20:00:00;0.00;G;0;G;;
2015-01-10;21:00:00;0.00;G;0;G;;
2015-01-10;22:00:00;0.00;G;0;G;;
2015-01-10;23:00:00;0.00;G;0;G;;
2015-01-11;00:00:00;0.00;G;0;G;;
2015-01-11;01:00:00;0.00;G;0;G;;
2015-01-11;02:00:00;0.00;G;0;G;;
2015-01-11;03:00:00;0.00;G;0;G;;
2015-01-11;04:00:00;0.00;G;0;G;;
2015-01-11;05:00:00;0.00;G;0;G;;
2015-01-11;06:00:00;0.00;G;0;G;;
2015-01-11;07:00:00;0.00;G;0;G;;
2015-01-11;08:00:00;3.43;G;0;G;;
2015-01-11;09:00:00;18.70;G;0;G;;
2015-01-11;10:00:00;31.22;G;0;G;;
2015-01-11;11:00:00;60.62;G;11;G;;
2015-01-11;12:00:00;90.01;G;22;G;;
2015-01-11;13:00:00;75.12;G;5;G;;
2015-01-11;14:00:00;15.18;G;0;G;;
2015-01-11;15:00:00;7.94;G;0;G;;
2015-01-11;16:00:00;0.24;G;0;G;;
2015-01-11;17:00:00;0.00;G;0;G;;
2015-01-11;18:00:00;0.00;G;0;G;;
